time: 0.239, frequency: 199.66119704588084, confidence: 0.8058278560638428
time: 0.24, frequency: 199.54027834512587, confidence: 0.8031606674194336
time: 0.241, frequency: 199.6404501333528, confidence: 0.7830628752708435
time: 0.242, frequency: 199.72116487849394, confidence: 0.7895174026489258
time: 0.243, frequency: 199.81638954402155, confidence: 0.7833442091941833
time: 0.244, frequency: 199.66124702336202, confidence: 0.8058327436447144
time: 0.245, frequency: 199.54030205253446, confidence: 0.8031632900238037
time: 0.246, frequency: 199.64039527018173, confidence: 0.7830699682235718
time: 0.247, frequency: 199.72131583988855, confidence: 0.7895190715789795
time: 0.248, frequency: 199.8165442640107, confidence: 0.7833448648452759
time: 0.249, frequency: 199.66160094480284, confidence: 0.8058311939239502
time: 0.25, frequency: 199.54054110209438, confidence: 0.8031679391860962
time: 0.251, frequency: 199.64060776167946, confidence: 0.7830770015716553
time: 0.252, frequency: 199.72151729426602, confidence: 0.7895280122756958
time: 0.253, frequency: 199.81702784856924, confidence: 0.7833364009857178
time: 0.254, frequency: 199.66199753534465, confidence: 0.8058493137359619
time: 0.255, frequency: 199.5412679135867, confidence: 0.8031797409057617
time: 0.256, frequency: 199.64099719211072, confidence: 0.7831145524978638
time: 0.257, frequency: 199.72241421144548, confidence: 0.789546012878418
time: 0.258, frequency: 199.8176051174416, confidence: 0.7833665609359741
time: 0.259, frequency: 199.66262046485195, confidence: 0.8058922290802002
time: 0.26, frequency: 199.54193546799843, confidence: 0.8032286763191223
time: 0.261, frequency: 199.64152954482552, confidence: 0.7831799983978271
time: 0.262, frequency: 199.7230485830353, confidence: 0.7896153330802917
time: 0.263, frequency: 199.8180388248883, confidence: 0.7834267616271973
time: 0.264, frequency: 199.66315981541737, confidence: 0.8059678077697754
time: 0.265, frequency: 199.5426973437182, confidence: 0.8032793998718262
time: 0.266, frequency: 199.64195472369818, confidence: 0.7832704782485962
time: 0.267, frequency: 199.7233188374163, confidence: 0.7896823883056641
time: 0.268, frequency: 199.81830242487987, confidence: 0.7835206389427185
time: 0.269, frequency: 199.66339127475914, confidence: 0.8060257434844971
time: 0.27, frequency: 199.54321463934536, confidence: 0.8033452033996582
time: 0.271, frequency: 199.64206360300113, confidence: 0.7833356857299805
time: 0.272, frequency: 199.72296097108102, confidence: 0.7897450923919678
time: 0.273, frequency: 199.8179988914933, confidence: 0.7835932970046997
time: 0.274, frequency: 199.66325781351333, confidence: 0.8060756921768188
time: 0.275, frequency: 199.54295806093697, confidence: 0.8033971786499023
time: 0.276, frequency: 199.64189848049364, confidence: 0.7833867073059082
time: 0.277, frequency: 199.72239328175056, confidence: 0.7897834777832031
time: 0.278, frequency: 199.81764207584678, confidence: 0.7836282253265381
time: 0.279, frequency: 199.66322197501043, confidence: 0.8060935139656067
time: 0.28, frequency: 199.54300173961738, confidence: 0.8034235239028931
time: 0.281, frequency: 199.64160337919157, confidence: 0.7834023237228394
time: 0.282, frequency: 199.7219877570514, confidence: 0.7898098826408386
time: 0.283, frequency: 199.8171893844982, confidence: 0.7836449146270752
time: 0.284, frequency: 199.66309652677594, confidence: 0.806125819683075
time: 0.285, frequency: 199.5430685066699, confidence: 0.8034601211547852
time: 0.286, frequency: 199.64142985660823, confidence: 0.7834451198577881
time: 0.287, frequency: 199.72182759526365, confidence: 0.789863646030426
time: 0.288, frequency: 199.81707091984708, confidence: 0.7836925983428955
time: 0.289, frequency: 199.66312944297067, confidence: 0.8061808347702026
time: 0.29, frequency: 199.54341056825118, confidence: 0.803506076335907
time: 0.291, frequency: 199.64124685008295, confidence: 0.7835245728492737
time: 0.292, frequency: 199.7221500520638, confidence: 0.7899505496025085
time: 0.293, frequency: 199.81698363513397, confidence: 0.7837728261947632
time: 0.294, frequency: 199.66323425054446, confidence: 0.8062660098075867
time: 0.295, frequency: 199.54363804975475, confidence: 0.8035869002342224
time: 0.296, frequency: 199.64119593914592, confidence: 0.7836332321166992
time: 0.297, frequency: 199.72222224393064, confidence: 0.7900705337524414
time: 0.298, frequency: 199.8171342597719, confidence: 0.7838887572288513
time: 0.299, frequency: 199.66311412000607, confidence: 0.80637526512146
time: 0.3, frequency: 199.54381372524549, confidence: 0.8036819696426392
time: 0.301, frequency: 199.6413276656786, confidence: 0.7837279438972473
time: 0.302, frequency: 199.72214375897522, confidence: 0.7901756763458252
time: 0.303, frequency: 199.81695961989263, confidence: 0.783993124961853
time: 0.304, frequency: 199.6631039583604, confidence: 0.8064515590667725
time: 0.305, frequency: 199.5439359136779, confidence: 0.8037601113319397
time: 0.306, frequency: 199.64137596978188, confidence: 0.7837269902229309
time: 0.307, frequency: 199.71809716236515, confidence: 0.7902594804763794
time: 0.308, frequency: 199.8121098211857, confidence: 0.7843115329742432
time: 0.309, frequency: 199.6577363698856, confidence: 0.8066834211349487
time: 0.31, frequency: 199.54157537386527, confidence: 0.8039605021476746
time: 0.311, frequency: 199.63899812864528, confidence: 0.7837721109390259
time: 0.312, frequency: 199.7183432150068, confidence: 0.7902344465255737
time: 0.313, frequency: 199.8107636001133, confidence: 0.7843672037124634
time: 0.314, frequency: 199.6602310504301, confidence: 0.8063822388648987
time: 0.315, frequency: 199.53870350816783, confidence: 0.8037958145141602
time: 0.316, frequency: 199.64004872465895, confidence: 0.783363938331604
time: 0.317, frequency: 199.7160728552477, confidence: 0.7899342179298401
time: 0.318, frequency: 199.8159235563968, confidence: 0.7835270166397095
time: 0.319, frequency: 199.66240066246687, confidence: 0.8058861494064331
time: 0.32, frequency: 199.5414411494065, confidence: 0.8031810522079468
time: 0.321, frequency: 199.64610015302554, confidence: 0.7827280759811401
time: 0.322, frequency: 199.7265884507849, confidence: 0.7890941500663757
time: 0.323, frequency: 199.8282021376305, confidence: 0.7826955914497375
time: 0.324, frequency: 199.67448211818353, confidence: 0.8052616119384766
time: 0.325, frequency: 199.55058249874577, confidence: 0.8028196096420288
time: 0.326, frequency: 199.6568435770177, confidence: 0.7819164991378784
time: 0.327, frequency: 199.73705677759867, confidence: 0.7887725234031677
time: 0.328, frequency: 199.84196813010306, confidence: 0.7816801071166992
time: 0.329, frequency: 199.68675069052364, confidence: 0.8050962686538696
time: 0.33, frequency: 199.56292561377396, confidence: 0.8022838830947876
time: 0.331, frequency: 199.66956974505734, confidence: 0.7817969918251038
time: 0.332, frequency: 199.7515131677686, confidence: 0.7884787321090698
time: 0.333, frequency: 199.85873421866836, confidence: 0.7815848588943481
time: 0.334, frequency: 199.69649576113622, confidence: 0.8048373460769653
time: 0.335, frequency: 199.57730791526842, confidence: 0.8021665811538696
time: 0.336, frequency: 199.67756130928035, confidence: 0.7817423343658447
time: 0.337, frequency: 199.75882420758623, confidence: 0.7888984084129333
time: 0.338, frequency: 199.8617144984685, confidence: 0.7822352647781372
time: 0.339, frequency: 199.69739286621694, confidence: 0.8054273128509521
time: 0.34, frequency: 199.57502667261568, confidence: 0.8025169372558594
time: 0.341, frequency: 199.67915554809306, confidence: 0.7824125289916992
time: 0.342, frequency: 199.75870146779926, confidence: 0.7891465425491333
time: 0.343, frequency: 199.85989667218942, confidence: 0.7827566862106323
time: 0.344, frequency: 199.69534360936717, confidence: 0.805327296257019
time: 0.345, frequency: 199.57701226335917, confidence: 0.8025256395339966
time: 0.346, frequency: 199.67761872032696, confidence: 0.7819721698760986
time: 0.347, frequency: 199.75842401433107, confidence: 0.7888085842132568
time: 0.348, frequency: 199.85215451807747, confidence: 0.7825756072998047
time: 0.349, frequency: 199.694012288924, confidence: 0.8047614097595215
time: 0.35, frequency: 199.56740910478746, confidence: 0.8023157119750977
time: 0.351, frequency: 199.67036616227062, confidence: 0.781420886516571
time: 0.352, frequency: 199.74357595415938, confidence: 0.788280725479126
time: 0.353, frequency: 199.8451662881331, confidence: 0.7820258140563965
time: 0.354, frequency: 199.6869236198573, confidence: 0.8042466640472412
time: 0.355, frequency: 199.5611511906227, confidence: 0.8017704486846924
time: 0.356, frequency: 199.66475842591666, confidence: 0.7809980511665344
time: 0.357, frequency: 199.74081174813477, confidence: 0.7875524759292603
time: 0.358, frequency: 199.8382908771853, confidence: 0.7810976505279541
time: 0.359, frequency: 199.681422346584, confidence: 0.8039267659187317
time: 0.36, frequency: 199.55385810524828, confidence: 0.8016657829284668
time: 0.361, frequency: 199.6591826447841, confidence: 0.7812671065330505
time: 0.362, frequency: 199.73537373737906, confidence: 0.7879415154457092
time: 0.363, frequency: 199.8342806909041, confidence: 0.7814443111419678
time: 0.364, frequency: 199.6795767835626, confidence: 0.8042634725570679
time: 0.365, frequency: 199.55314710531326, confidence: 0.8018186092376709
time: 0.366, frequency: 199.655895426981, confidence: 0.7815475463867188
time: 0.367, frequency: 199.73344394028368, confidence: 0.7883121967315674
time: 0.368, frequency: 199.83060956884856, confidence: 0.7820913791656494
time: 0.369, frequency: 199.73609792811084, confidence: 0.803408145904541
time: 0.37, frequency: 199.671709573844, confidence: 0.7895206809043884
time: 0.371, frequency: 200.19182750865423, confidence: 0.7627386450767517
time: 0.372, frequency: 199.8651129187216, confidence: 0.7509306073188782
time: 0.373, frequency: 200.20093966931083, confidence: 0.7639195322990417
time: 0.374, frequency: 199.64125479152074, confidence: 0.7603513598442078
time: 0.375, frequency: 199.73971924883372, confidence: 0.7513304352760315
time: 0.376, frequency: 199.83024302098772, confidence: 0.7037051916122437
time: 0.377, frequency: 199.86391774057017, confidence: 0.7256349921226501
time: 0.378, frequency: 199.98686763482922, confidence: 0.7249230146408081
time: 0.379, frequency: 199.59893600272164, confidence: 0.7480660080909729
time: 0.38, frequency: 199.5753432976628, confidence: 0.7274531126022339
time: 0.381, frequency: 200.10049869062865, confidence: 0.6962586045265198
time: 0.382, frequency: 199.5387009636945, confidence: 0.6971009969711304
time: 0.383, frequency: 199.97452608396827, confidence: 0.6961923241615295
time: 0.384, frequency: 199.54024440944667, confidence: 0.6943092942237854
time: 0.385, frequency: 199.56605651202082, confidence: 0.6747418642044067
time: 0.386, frequency: 199.62222825847715, confidence: 0.6394042372703552
time: 0.387, frequency: 199.5366904642553, confidence: 0.6472722291946411
time: 0.388, frequency: 199.8694239945866, confidence: 0.6322928667068481
time: 0.389, frequency: 199.15299521359145, confidence: 0.6305825114250183
time: 0.39, frequency: 199.33115373222836, confidence: 0.5999445915222168
time: 0.391, frequency: 199.29034657326918, confidence: 0.5362578630447388
time: 0.392, frequency: 199.5841676055142, confidence: 0.5279002785682678
time: 0.393, frequency: 199.20699319610134, confidence: 0.5041949152946472
time: 0.394, frequency: 199.10896474899238, confidence: 0.4713476598262787
time: 0.395, frequency: 199.23159170255212, confidence: 0.4387998580932617
time: 0.396, frequency: 200.0880046484706, confidence: 0.40747275948524475
time: 0.397, frequency: 200.55003148040038, confidence: 0.45521828532218933
time: 0.398, frequency: 200.42943939058853, confidence: 0.39678478240966797
time: 0.399, frequency: 200.70772009448532, confidence: 0.3702850043773651
time: 0.4, frequency: 200.67825836024738, confidence: 0.3473764657974243
time: 0.401, frequency: 201.89233120454338, confidence: 0.3224809765815735
time: 0.402, frequency: 201.9573315344566, confidence: 0.33244675397872925
time: 0.403, frequency: 200.79171154737463, confidence: 0.2464912235736847
time: 0.404, frequency: 202.42530850327992, confidence: 0.25054416060447693
time: 0.405, frequency: 202.27871683394906, confidence: 0.2302408516407013
time: 0.406, frequency: 202.51672445430523, confidence: 0.22132956981658936
time: 0.407, frequency: 202.35955925229976, confidence: 0.18983742594718933
time: 0.408, frequency: 837.6181867383848, confidence: 0.18169665336608887
time: 0.409, frequency: 836.2631566986158, confidence: 0.26665952801704407
time: 0.41, frequency: 836.3113081191744, confidence: 0.3705780506134033
time: 0.411, frequency: 835.07112867828, confidence: 0.42221954464912415
