f1: 16.35, f2: 17.32, latency: None, f_detected: None, cents_error: None
f1: 1108.73, f2: 1046.5, latency: 0.0, f_detected: 1068.1377327962675, cents_error: 35.430453765772455
f1: 1108.73, f2: 1174.66, latency: 0.004999999999999893, f_detected: 1149.0311835556333, cents_error: -38.19034064809165
f1: 1174.66, f2: 1108.73, latency: 0.0, f_detected: 1159.8932081424507, cents_error: 78.1006817343476
f1: 1174.66, f2: 1244.51, latency: 0.0, f_detected: 1190.8176629874806, cents_error: -76.35035639399557
f1: 1244.51, f2: 1174.66, latency: 0.014999999999999902, f_detected: 1181.637191954756, cents_error: 10.252685971673404
f1: 1244.51, f2: 1318.51, latency: 0.010000000000000009, f_detected: 1320.1099537727089, cents_error: 2.0995026462658664
f1: 1318.51, f2: 1244.51, latency: 0.0, f_detected: 1270.4585382556504, cents_error: 35.72576471062338
f1: 1318.51, f2: 1396.91, latency: 0.020000000000000018, f_detected: 1400.9871280781363, cents_error: 5.045552158856324
f1: 1396.91, f2: 1318.51, latency: 0.010000000000000009, f_detected: 1331.933581081255, cents_error: 17.536354668608055
f1: 1396.91, f2: 1479.98, latency: 0.010000000000000009, f_detected: 1461.6505174552808, cents_error: -21.575133103573403
f1: 1479.98, f2: 1396.91, latency: 0.010000000000000009, f_detected: 1409.7167128306355, cents_error: 15.799444285328985
f1: 1479.98, f2: 1567.98, latency: 0.0, f_detected: 1522.1838820543262, cents_error: -51.31741027092727
f1: 1567.98, f2: 1479.98, latency: 0.010000000000000009, f_detected: 1487.3193301082188, cents_error: 8.564099996703886
f1: 1567.98, f2: 1661.22, latency: 0.014999999999999902, f_detected: 1654.7274527344894, cents_error: -6.779439912797417
f1: 1661.22, f2: 1567.98, latency: 0.010000000000000009, f_detected: 1569.497740819265, cents_error: 1.6749535811797
f1: 1661.22, f2: 1760.0, latency: 0.010000000000000009, f_detected: 1752.590017430923, cents_error: -7.304258733660415
f1: 1760.0, f2: 1661.22, latency: 0.010000000000000009, f_detected: 1665.4954725284665, cents_error: 4.449943347136498
f1: 1760.0, f2: 1864.66, latency: 0.010000000000000009, f_detected: 1850.76466537103, cents_error: -12.949361516895625
f1: 1864.66, f2: 1760.0, latency: 0.014999999999999902, f_detected: 1769.0624957135649, cents_error: 8.891503426388283
f1: 1864.66, f2: 1975.53, latency: 0.014999999999999902, f_detected: 1955.1296586452154, cents_error: -17.970562578636827
f1: 1975.53, f2: 1864.66, latency: 0.014999999999999902, f_detected: 1861.243567961605, cents_error: -3.1748782656050043
f1: 1975.53, f2: 2093.0, latency: None, f_detected: None, cents_error: None
f1: 2093.0, f2: 1975.53, latency: 0.014999999999999902, f_detected: 1958.0878829304597, cents_error: -15.3530850024209
f1: 2093.0, f2: 2217.46, latency: None, f_detected: None, cents_error: None
f1: 2217.46, f2: 2093.0, latency: None, f_detected: None, cents_error: None
f1: 2217.46, f2: 2349.32, latency: None, f_detected: None, cents_error: None
f1: 2349.32, f2: 2217.46, latency: None, f_detected: None, cents_error: None
f1: 2349.32, f2: 2489.02, latency: None, f_detected: None, cents_error: None
f1: 2489.02, f2: 2349.32, latency: None, f_detected: None, cents_error: None
f1: 2489.02, f2: 2637.02, latency: None, f_detected: None, cents_error: None
f1: 2637.02, f2: 2489.02, latency: None, f_detected: None, cents_error: None
f1: 2637.02, f2: 2793.83, latency: None, f_detected: None, cents_error: None
f1: 2793.83, f2: 2637.02, latency: None, f_detected: None, cents_error: None
f1: 2793.83, f2: 2959.96, latency: None, f_detected: None, cents_error: None
f1: 2959.96, f2: 2793.83, latency: None, f_detected: None, cents_error: None
f1: 2959.96, f2: 3135.96, latency: None, f_detected: None, cents_error: None
f1: 3135.96, f2: 2959.96, latency: None, f_detected: None, cents_error: None
f1: 3135.96, f2: 3322.44, latency: None, f_detected: None, cents_error: None
f1: 3322.44, f2: 3135.96, latency: None, f_detected: None, cents_error: None
f1: 3322.44, f2: 3520.0, latency: None, f_detected: None, cents_error: None
f1: 3520.0, f2: 3322.44, latency: None, f_detected: None, cents_error: None
f1: 3520.0, f2: 3729.31, latency: None, f_detected: None, cents_error: None
f1: 3729.31, f2: 3520.0, latency: None, f_detected: None, cents_error: None
f1: 3729.31, f2: 3951.07, latency: None, f_detected: None, cents_error: None
f1: 3951.07, f2: 3729.31, latency: None, f_detected: None, cents_error: None
f1: 3951.07, f2: 4186.01, latency: None, f_detected: None, cents_error: None
f1: 4186.01, f2: 3951.07, latency: None, f_detected: None, cents_error: None
f1: 4186.01, f2: 4434.92, latency: None, f_detected: None, cents_error: None
f1: 4434.92, f2: 4186.01, latency: None, f_detected: None, cents_error: None
f1: 4434.92, f2: 4698.63, latency: None, f_detected: None, cents_error: None
f1: 4698.63, f2: 4434.92, latency: None, f_detected: None, cents_error: None
f1: 4698.63, f2: 4978.03, latency: None, f_detected: None, cents_error: None
f1: 4978.03, f2: 4698.63, latency: None, f_detected: None, cents_error: None
f1: 4978.03, f2: 5274.04, latency: None, f_detected: None, cents_error: None
f1: 5274.04, f2: 4978.03, latency: None, f_detected: None, cents_error: None
